IATI-Identifier, status,location name,description,point srs name,coordinates,address
"GB-1-105422","Implementation","Dar es Salaam","Dar es Salaam,Kinondoni,Dar es Salaam,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.7831999999999999  39.2676700000000030","TZ"
"GB-1-105423","Post-completion","Dar es Salaam","Dar es Salaam,Kinondoni,Dar es Salaam,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.7831999999999999  39.2676700000000030","TZ"
"GB-1-113401","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-113401","Implementation","Dar es Salaam","Dar es Salaam,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.7831999999999999  39.2676700000000030","TZ"
"GB-1-113401","Implementation","Stone Town","Stone Town, Zanzibar West,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.1837999999999997  39.2284000000000010","TZ"
"GB-1-113401","Implementation","Dodoma","Dodoma,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.1706000000000003  35.7308000000000020","TZ"
"GB-1-113540","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-113702","Post-completion","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-114172","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-200304","Post-completion","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-200498","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202181","Post-completion","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202181","Post-completion","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202394","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202404","Post-completion","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202480","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202481","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202770","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202844","Implementation","Iringa","Iringa,Iringa,Iringa,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -7.7626900000000001  35.6873999999999970","TZ"
"GB-1-202852","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-202959","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-203008","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-203213","Post-completion","Dodoma","Dodoma,Dodoma,Dodoma,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.1705999374389604  35.7308006286621020","TZ"
"GB-1-203220","Implementation","Tanzania","Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.3068970000000002  34.8539299999999980","TZ"
"GB-1-203363","Implementation","Dodoma","Dodoma,Dodoma,Dodoma,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -6.1706000000000003  35.7308000000000020","TZ"
"GB-1-203363","Implementation","Shinyanga","Shinyanga,Shinyanga,Shinyanga,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -3.6777299999999999  33.4033999999999980","TZ"
"GB-1-203363","Implementation","Simiyu Region","Simiyu Region,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -2.9500000000000002  34.2000000000000030","TZ"
"GB-1-203363","Implementation","Tabora","Tabora,Tabora,Tabora,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -5.0308999999999999  32.8196099999999970","TZ"
"GB-1-203363","Implementation","Kigoma","Kigoma,Kigoma,Kigoma,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -4.8523699999999996  29.6962000000000010","TZ"
"GB-1-203363","Implementation","Mara","Mara,Tanzania","http://www.opengis.net/def/crs/EPSG/0/4326"," -1.7339460000000000  34.1348699999999990","TZ"
