IATI-Identifier, location name, description, point srs name, coordinates
GB-1-201609,Juba,Juba,South Sudan,http://www.opengis.net/def/crs/EPSG/0/4326,  4.8537400000000002  31.6030900000000020
GB-1-201609,Monrovia,Monrovia,Liberia,http://www.opengis.net/def/crs/EPSG/0/4326,  6.3030400000000002 -10.7956900000000000
GB-1-201609,Kampala,Kampala,Kampala,Central,Uganda,http://www.opengis.net/def/crs/EPSG/0/4326,  0.3253800000000000  32.5869700000000010
GB-1-201609,Kinshasa,Kinshasa,Kinshasa,Congo (DRC),http://www.opengis.net/def/crs/EPSG/0/4326, -4.3122199999999999  15.2895299999999990
GB-1-201614,Angola,Angola,http://www.opengis.net/def/crs/EPSG/0/4326,-12.3335600000000000  17.5394599999999980
GB-1-201614,Botswana,Botswana,http://www.opengis.net/def/crs/EPSG/0/4326,-22.1867500000000000  23.8149400000000000
GB-1-201614,Lesotho,Lesotho,http://www.opengis.net/def/crs/EPSG/0/4326,-29.5817500000000000  28.2466100000000000
GB-1-201614,Mozambique,Mozambique,http://www.opengis.net/def/crs/EPSG/0/4326,-17.5558599999999990  35.9556899999999970
GB-1-201614,South Africa,South Africa,http://www.opengis.net/def/crs/EPSG/0/4326,-29.0461800000000000  25.0628800000000000
GB-1-201614,Zambia,Zambia,http://www.opengis.net/def/crs/EPSG/0/4326,-13.4588500000000000  27.7881000000000000
GB-1-201614,Zimbabwe,Zimbabwe,http://www.opengis.net/def/crs/EPSG/0/4326,-19.0002800000000000  29.8687600000000020
GB-1-201614,Swaziland,Swaziland,http://www.opengis.net/def/crs/EPSG/0/4326,-26.5651300000000000  31.4981100000000000
GB-1-201614,Comoros,Comoros,http://www.opengis.net/def/crs/EPSG/0/4326,-11.8660999999999990  43.4326399999999990
GB-1-201614,Madagascar,Madagascar,http://www.opengis.net/def/crs/EPSG/0/4326,-19.2723900000000010  46.6984300000000020
GB-1-201614,Mauritius,Mauritius,http://www.opengis.net/def/crs/EPSG/0/4326,-20.2204100000000010  57.5893799999999980
GB-1-201614,Seychelles,Seychelles,http://www.opengis.net/def/crs/EPSG/0/4326, -4.6697949999999997  55.4716600000000000
GB-1-202501,South Africa,South Africa,http://www.opengis.net/def/crs/EPSG/0/4326,-29.0461800000000000  25.0628800000000000
GB-1-202501,Mozambique,Mozambique,http://www.opengis.net/def/crs/EPSG/0/4326,-17.5558599999999990  35.9556899999999970
GB-1-202501,Tanzania,Tanzania,http://www.opengis.net/def/crs/EPSG/0/4326, -6.3068970000000002  34.8539299999999980
GB-1-202501,Malawi,Malawi,http://www.opengis.net/def/crs/EPSG/0/4326,-13.5235800000000010  33.8354599999999980
GB-1-202501,Madagascar,Madagascar,http://www.opengis.net/def/crs/EPSG/0/4326,-19.2723900000000010  46.6984300000000020
GB-1-202501,Zimbabwe,Zimbabwe,http://www.opengis.net/def/crs/EPSG/0/4326,-19.0002800000000000  29.8687600000000020
GB-1-202501,Botswana,Botswana,http://www.opengis.net/def/crs/EPSG/0/4326,-22.1867500000000000  23.8149400000000000
GB-1-202501,Sao Tome and Principe,Sao Tome and Principe,http://www.opengis.net/def/crs/EPSG/0/4326,  0.2755553000000000   6.6316280000000001
GB-1-202501,Egypt,Egypt,http://www.opengis.net/def/crs/EPSG/0/4326, 26.7561000000000000  29.8623000000000010
GB-1-202501,Liberia,Liberia,http://www.opengis.net/def/crs/EPSG/0/4326,  6.4115130000000002  -9.3234919999999999
GB-1-202501,Uganda,Uganda,http://www.opengis.net/def/crs/EPSG/0/4326,  1.2773280000000000  32.3899800000000010
GB-1-202501,Gambia,Gambia,http://www.opengis.net/def/crs/EPSG/0/4326, 13.4402700000000000 -15.4908800000000010
GB-1-202501,Gabon,Gabon,http://www.opengis.net/def/crs/EPSG/0/4326, -0.6345401000000001  11.7386100000000000
GB-1-202501,Central African Republic,Central African Republic,http://www.opengis.net/def/crs/EPSG/0/4326,  6.5741230000000002  20.4869200000000010
GB-1-202501,Burundi,Burundi,http://www.opengis.net/def/crs/EPSG/0/4326, -3.3652080000000000  29.8865100000000010
GB-1-202501,Ethiopia,Ethiopia,http://www.opengis.net/def/crs/EPSG/0/4326,  8.6267029999999991  39.6375499999999970
GB-1-202501,Rwanda,Rwanda,http://www.opengis.net/def/crs/EPSG/0/4326, -1.9999499999999999  29.9260600000000000
GB-1-202501,Seychelles,Seychelles,http://www.opengis.net/def/crs/EPSG/0/4326, -4.6697949999999997  55.4716600000000000
GB-1-202501,Seychelles,Seychelles,http://www.opengis.net/def/crs/EPSG/0/4326, -4.6697949999999997  55.4716600000000000
GB-1-202501,Comoros,Comoros,http://www.opengis.net/def/crs/EPSG/0/4326,-11.8660999999999990  43.4326399999999990
GB-1-202501,Algeria,Algeria,http://www.opengis.net/def/crs/EPSG/0/4326, 28.2136500000000010   2.6547280000000000
GB-1-202501,Libya,Libya,http://www.opengis.net/def/crs/EPSG/0/4326, 27.2361000000000000  18.0435599999999990
GB-1-202501,Morocco,Morocco,http://www.opengis.net/def/crs/EPSG/0/4326, 29.1405900000000000  -8.9533880000000003
GB-1-202501,Mauritania,Mauritania,http://www.opengis.net/def/crs/EPSG/0/4326, 20.2590000000000000 -10.3644400000000000
GB-1-202501,Sudan,Sudan,http://www.opengis.net/def/crs/EPSG/0/4326, 16.0857800000000000  30.0873899999999990
GB-1-202501,Benin,Benin,http://www.opengis.net/def/crs/EPSG/0/4326,  9.6241120000000002   2.3377390000000000
GB-1-202501,Burkina Faso,Burkina Faso,http://www.opengis.net/def/crs/EPSG/0/4326, 12.2849900000000010  -1.7455609999999999
GB-1-202501,Zambia,Zambia,http://www.opengis.net/def/crs/EPSG/0/4326,-13.4588500000000000  27.7881000000000000
GB-1-202501,Namibia,Namibia,http://www.opengis.net/def/crs/EPSG/0/4326,-22.1507000000000010  17.1775300000000010
GB-1-202501,Lesotho,Lesotho,http://www.opengis.net/def/crs/EPSG/0/4326,-29.5817500000000000  28.2466100000000000
GB-1-202501,Kenya,Kenya,http://www.opengis.net/def/crs/EPSG/0/4326,  0.5765032000000000  37.8398899999999970
GB-1-202501,Nigeria,Nigeria,http://www.opengis.net/def/crs/EPSG/0/4326,  9.5595049999999997   8.0778809999999996
GB-1-202501,Nigeria,Nigeria,http://www.opengis.net/def/crs/EPSG/0/4326,  9.5595049999999997   8.0778809999999996
GB-1-202501,Senegal,Senegal,http://www.opengis.net/def/crs/EPSG/0/4326, 14.3625100000000000 -14.5316399999999990
GB-1-202501,Ghana,Ghana,http://www.opengis.net/def/crs/EPSG/0/4326,  7.9213300000000002  -1.2043860000000000
GB-1-202501,Cameroon,Cameroon,http://www.opengis.net/def/crs/EPSG/0/4326,  5.6854769999999997  12.7228800000000000
GB-1-202501,Rwanda,Rwanda,http://www.opengis.net/def/crs/EPSG/0/4326, -1.9999499999999999  29.9260600000000000
GB-1-202501,Senegal,Senegal,http://www.opengis.net/def/crs/EPSG/0/4326, 14.3625100000000000 -14.5316399999999990
GB-1-202501,Cape Verde,Cape Verde,http://www.opengis.net/def/crs/EPSG/0/4326, 15.1830000000000000 -23.7034500000000000
GB-1-202501,Mali,Mali,http://www.opengis.net/def/crs/EPSG/0/4326, 17.3577699999999990  -3.5273819999999998
GB-1-202501,Congo (DRC),Congo (DRC),http://www.opengis.net/def/crs/EPSG/0/4326, -2.8798659999999998  23.6563799999999990
GB-1-202501,Angola,Angola,http://www.opengis.net/def/crs/EPSG/0/4326,-12.3335600000000000  17.5394599999999980
GB-1-202577,Burkina Faso,Burkina Faso,http://www.opengis.net/def/crs/EPSG/0/4326, 12.2849900000000010  -1.7455609999999999
GB-1-202577,Ghana,Ghana,http://www.opengis.net/def/crs/EPSG/0/4326,  7.9213300000000002  -1.2043860000000000
GB-1-202577,Niger,Niger,http://www.opengis.net/def/crs/EPSG/0/4326, 17.4240700000000000   9.4006340000000002
GB-1-202577,Nigeria,Nigeria,http://www.opengis.net/def/crs/EPSG/0/4326,  9.5595049999999997   8.0778809999999996
GB-1-202577,Nigeria,Nigeria,http://www.opengis.net/def/crs/EPSG/0/4326,  9.5595049999999997   8.0778809999999996
GB-1-202577,Niger,Niger,http://www.opengis.net/def/crs/EPSG/0/4326, 17.4240700000000000   9.4006340000000002
GB-1-202577,Ghana,Ghana,http://www.opengis.net/def/crs/EPSG/0/4326,  7.9213300000000002  -1.2043860000000000
GB-1-202577,Burkina Faso,Burkina Faso,http://www.opengis.net/def/crs/EPSG/0/4326, 12.2849900000000010  -1.7455609999999999
GB-1-202579,Benin,Benin,http://www.opengis.net/def/crs/EPSG/0/4326,  9.6241120000000002   2.3377390000000000
GB-1-202579,Niger,Niger,http://www.opengis.net/def/crs/EPSG/0/4326, 17.4240700000000000   9.4006340000000002
GB-1-202579,Burkina Faso,Burkina Faso,http://www.opengis.net/def/crs/EPSG/0/4326, 12.2849900000000010  -1.7455609999999999
GB-1-202579,Malawi,Malawi,http://www.opengis.net/def/crs/EPSG/0/4326,-13.5235800000000010  33.8354599999999980
GB-1-202579,Mozambique,Mozambique,http://www.opengis.net/def/crs/EPSG/0/4326,-17.5558599999999990  35.9556899999999970
GB-1-202579,South Africa,South Africa,http://www.opengis.net/def/crs/EPSG/0/4326,-29.0461800000000000  25.0628800000000000
GB-1-202579,Zimbabwe,Zimbabwe,http://www.opengis.net/def/crs/EPSG/0/4326,-19.0002800000000000  29.8687600000000020
GB-1-202579,Tanzania,Tanzania,http://www.opengis.net/def/crs/EPSG/0/4326, -6.3068970000000002  34.8539299999999980
GB-1-202579,Kenya,Kenya,http://www.opengis.net/def/crs/EPSG/0/4326,  0.5765032000000000  37.8398899999999970
GB-1-202579,Congo (DRC),Congo (DRC),http://www.opengis.net/def/crs/EPSG/0/4326, -2.8798659999999998  23.6563799999999990
GB-1-202579,Zambia,Zambia,http://www.opengis.net/def/crs/EPSG/0/4326,-13.4588500000000000  27.7881000000000000
GB-1-202579,Burkina Faso,Burkina Faso,http://www.opengis.net/def/crs/EPSG/0/4326, 12.2849900000000010  -1.7455609999999999
GB-1-202579,Niger,Niger,http://www.opengis.net/def/crs/EPSG/0/4326, 17.4240700000000000   9.4006340000000002
GB-1-202580,Malawi,Malawi,http://www.opengis.net/def/crs/EPSG/0/4326,-13.5235800000000010  33.8354599999999980
GB-1-202580,Mozambique,Mozambique,http://www.opengis.net/def/crs/EPSG/0/4326,-17.5558599999999990  35.9556899999999970
GB-1-202580,Burundi,Burundi,http://www.opengis.net/def/crs/EPSG/0/4326, -3.3652080000000000  29.8865100000000010
GB-1-202580,Rwanda,Rwanda,http://www.opengis.net/def/crs/EPSG/0/4326, -1.9999499999999999  29.9260600000000000
GB-1-202580,Uganda,Uganda,http://www.opengis.net/def/crs/EPSG/0/4326,  1.2773280000000000  32.3899800000000010
GB-1-202580,Tanzania,Tanzania,http://www.opengis.net/def/crs/EPSG/0/4326, -6.3068970000000002  34.8539299999999980
GB-1-202580,Kenya,Kenya,http://www.opengis.net/def/crs/EPSG/0/4326,  0.5765032000000000  37.8398899999999970
GB-1-202580,Zimbabwe,Zimbabwe,http://www.opengis.net/def/crs/EPSG/0/4326,-19.0002800000000000  29.8687600000000020
GB-1-202580,Zambia,Zambia,http://www.opengis.net/def/crs/EPSG/0/4326,-13.4588500000000000  27.7881000000000000
